how_much,date
38,04/05/2017
39,18/05/2017
40,29/05/2017
41,07/05/2017
42,13/05/2017
43,20/05/2017
44,22/05/2017
45,15/05/2017
46,08/05/2017
47,09/05/2017
48,11/05/2017
49,24/05/2017
50,11/05/2017
51,06/05/2017
52,08/05/2017
53,28/05/2017
54,22/05/2017
55,18/05/2017
56,23/05/2017
57,14/05/2017
58,20/05/2017
59,01/05/2017
60,27/05/2017
61,29/05/2017
62,09/05/2017
63,05/05/2017
64,07/05/2017
65,22/05/2017
66,28/05/2017
67,11/05/2017
68,26/05/2017
69,29/05/2017
70,02/05/2017
71,17/05/2017
72,14/05/2017
73,28/05/2017
74,03/05/2017
75,05/05/2017
76,22/05/2017
77,22/05/2017
78,21/05/2017
79,08/05/2017
80,12/05/2017
81,02/05/2017
82,17/05/2017
83,06/05/2017
84,15/05/2017
85,23/05/2017
86,04/05/2017
87,25/05/2017
88,06/05/2017
89,19/05/2017
90,21/05/2017
91,25/05/2017
92,03/05/2017
93,15/05/2017
94,08/05/2017
95,09/05/2017
96,22/05/2017
97,17/05/2017
98,09/05/2017
99,14/05/2017
100,23/05/2017
101,09/05/2017
102,05/05/2017
103,08/05/2017
104,18/05/2017
105,23/05/2017
106,16/05/2017
107,07/05/2017
108,19/05/2017
109,25/05/2017
110,13/05/2017
111,01/05/2017
112,13/05/2017
113,24/05/2017
114,19/05/2017
115,21/05/2017
116,20/05/2017
117,11/05/2017
118,17/05/2017
119,26/05/2017
120,29/05/2017
121,02/05/2017
122,13/05/2017
123,03/05/2017
124,20/05/2017
125,26/05/2017
126,16/05/2017
127,05/05/2017
128,09/05/2017
129,29/05/2017
130,03/05/2017
131,01/05/2017
132,03/05/2017
133,06/05/2017
134,24/05/2017
135,09/05/2017
136,03/05/2017
137,22/05/2017
138,09/05/2017
139,28/05/2017
140,26/05/2017
141,20/05/2017
142,24/05/2017
143,26/05/2017
144,11/05/2017
145,10/05/2017
146,05/05/2017
147,29/05/2017
148,15/05/2017
149,16/05/2017
150,03/05/2017
